start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.268067	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.268067	3.071405	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
3.071405	5.76492	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
5.76492	8.504875	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
8.504875	11.233219	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
11.233219	13.973174	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
13.973174	16.701519	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.701519	19.441473	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
19.441473	22.169818	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
22.169818	23.528185	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
23.528185	24.248004	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
24.248004	24.921383	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
24.921383	26.29136	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
26.29136	27.661337	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
27.661337	29.008095	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
29.008095	30.424512	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
30.424512	33.199297	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
33.199297	34.615714	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
34.615714	35.962471	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
35.962471	37.332448	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
37.332448	38.714036	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
38.714036	40.095623	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
40.095623	41.47721	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
41.47721	42.847188	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
42.847188	44.240385	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
44.240385	45.598752	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
45.598752	46.92229	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
46.92229	48.338707	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
48.338707	49.708684	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
49.708684	50.382063	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
50.382063	51.090272	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
51.090272	51.76365	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
51.76365	52.460249	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
52.460249	53.876666	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
53.876666	54.596485	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
54.596485	55.269863	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
55.269863	56.639841	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
56.639841	57.974988	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
57.974988	59.356575	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
59.356575	60.714943	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
60.714943	62.133998	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
62.133998	63.536167	A/9	9	11	0	1	0	0	1	0	0	0	0	1	0	1
63.536167	64.894535	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
64.894535	66.310952	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
66.310952	69.062517	A/9	9	11	0	1	0	0	1	0	0	0	0	1	0	1
69.062517	71.756031	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
71.756031	73.102789	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
73.102789	73.810997	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
73.810997	74.461156	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
74.461156	75.865963	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
75.865963	77.177891	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
77.177891	78.559478	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
78.559478	79.941065	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
79.941065	82.73907	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
82.73907	84.074217	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
84.074217	85.397755	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
85.397755	86.756122	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
86.756122	88.137709	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
88.137709	89.496077	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
89.496077	90.877664	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
90.877664	92.224421	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
92.224421	93.606009	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
93.606009	94.941156	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
94.941156	96.322743	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
96.322743	97.727551	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
97.727551	99.062698	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
99.062698	99.736077	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
99.736077	100.467505	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
100.467505	101.140884	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
101.140884	101.825873	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
101.825873	103.23068	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
103.23068	103.892448	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
103.892448	104.612267	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
104.612267	105.982244	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
105.982244	107.340612	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
107.340612	108.745419	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
108.745419	110.068956	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
110.068956	112.797301	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
112.797301	115.525646	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
115.525646	118.21916	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
118.21916	120.959115	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
120.959115	123.68746	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
123.68746	126.392585	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
126.392585	129.097709	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
129.097709	131.744784	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
131.744784	153.238332	A:(1,2,4)	9	9	0	0	1	0	0	0	0	0	0	1	0	1
153.238332	158.598662	A:min7(*b3)	9	9	1	0	0	0	1	0	0	1	0	1	0	0
158.598662	159.910589	D:min7(*b3)	2	2	1	0	1	0	0	1	0	0	0	1	0	0
159.910589	161.395215	A:(1)	9	9	0	0	0	0	0	0	0	0	0	1	0	0
161.395215	162.115918	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
